Praha 10;Podávací servisní;10000
Praha 100;Podávací;10001
Depo Praha 701;DEPO;10003
Praha 104;Podávací;10004
Praha 105;Podávací;10005
Praha 107;Podávací;10007
Praha 10 D II;Dodejna II;10009
Podatelna MŽP;Ostatní;10011
Praha SD;Samostatná dodejna;10027
Praha - Shein;Ostatní;10090
Praha 101;Podávací;10100
Praha 101 D II;Dodejna II;10199
Praha 102;Podávací;10200
Praha 113;Podávací;10300
Praha 114;Podávací;10400
Praha 106;Podávací;10600
Praha 112;Podávací;10700
Praha 108;Podávací;10800
Praha 111;Podávací servisní;10900
Praha 111 D;Dodejna II;10999
Praha 1;Podávací servisní;11000
Praha 01;Podávací;11001
Praha 02;Podávací;11002
Praha 05;Podávací;11005
Praha 1 D II;Dodejna II;11009
PM Praha;Ostatní;11010
Praha 016;Ostatní;11016
COHC Praha;Centrum oběh hotovosti a cenin;11050
Centrální podatelna;Ostatní;11110
Mobilní pošta 11;Podávací;11111
Praha 012;Podávací;11900
Praha 2;Podávací servisní;12000
Praha 23;Podávací;12003
Praha 24;Podávací;12004
Praha 2 D II;Dodejna II;12009
Praha 28;Podávací;12800
Praha 3;Podávací servisní;13000
Praha 31;Podávací;13001
Praha 32;Podávací;13002
Praha 33;Podávací;13003
Praha 34;Podávací;13004
Praha 35;Podávací;13005
Praha 3 D II;Dodejna II;13099
Praha 4;Podávací servisní;14000
Praha 42;Podávací;14002
Praha 43;Podávací;14003
Praha 44;Podávací;14004
Praha 46;Podávací;14006
Praha 49;Podávací;14009
Praha 416;Podávací;14016
Praha 418;Podávací;14018
Praha 419;Podávací;14019
Praha 4 D II;Dodejna II;14099
Praha 41;Podávací;14100
Praha 411;Podávací servisní;14200
Praha 411 D I;Dodejna I;14299
Praha 412;Podávací servisní;14300
Praha 412 D I;Dodejna I;14399
Praha 413;Podávací;14400
Praha 45;Podávací;14500
Praha 47;Podávací;14700
Praha 414;Podávací;14800
Praha 415;Podávací servisní;14900
Praha 415 D II;Dodejna II;14999
Praha 5;Podávací servisní;15000
Praha 51;Podávací;15001
Praha 53;Podávací;15003
Praha 54;Podávací;15004
Praha 56;Podávací;15006
Praha 57;Podávací;15007
Praha 5 D II;Dodejna II;15010
Podatelna ČSOB;Ostatní;15017
Praha 519;Podávací;15019
Praha 52;Podávací servisní;15200
Praha 52 D I;Dodejna I;15299
Praha 512;Podávací servisní;15300
Praha 512 D I;Dodejna I;15399
Praha 514;Podávací;15400
Praha 515;Podávací servisní;15500
Praha 513;Podávací;15511
Praha 517;Podávací;15521
Praha 511;Podávací;15531
Praha 515 D II;Dodejna II;15599
Praha 516;Podávací;15600
Praha 58;Podávací;15800
Praha 59;Podávací;15900
Praha 6;Podávací servisní;16000
Praha 65;Podávací;16005
Praha 68;Podávací;16008
Praha 612;Podávací;16012
Praha 617;Podávací;16017
Praha 6 D II;Dodejna II;16099
Praha 614;Podávací;16100
Praha 616;Podávací servisní;16200
Praha 616 D II;Dodejna II;16299
Praha 618;Podávací;16300
Praha 619;Podávací;16400
Praha 620;Podávací;16500
Praha 69;Podávací;16900
Praha 7;Podávací servisní;17000
Praha 74;Podávací;17004
Praha 7 D II;Dodejna II;17099
Praha 777;Ostatní;17700
Postfila Praha;Ostatní;17701
Depo Praha 704;DEPO;17704
Praha 8;Podávací servisní;18000
Praha 85;Podávací;18005
Praha 88;Podávací;18008
Praha 89;Podávací;18009
Praha 8 D II;Dodejna II;18099
Praha 81;Podávací;18100
Praha 81 D I;Dodejna I;18199
Praha 82;Podávací servisní;18200
Praha 82 D;Dodejna II;18299
Praha 84;Podávací;18400
Praha 86;Podávací;18600
Praha 87;Podávací;18700
Praha 9;Podávací servisní;19000
Praha 91;Podávací;19001
Praha 93;Podávací;19003
Depo Praha 703;DEPO;19007
Praha 900;Podávací;19009
Praha 911;Podávací;19011
Praha 912;Podávací;19012
Praha 914;Podávací;19014
Praha 915;Podávací;19015
Praha 916;Podávací servisní;19016
Praha 917;Podávací;19017
Praha 916 D;Dodejna II;19095
Praha 9 D;Dodejna II;19099
Praha 913;Podávací;19300
Praha 94;Podávací;19400
Praha 96;Podávací;19600
Praha 97;Podávací servisní;19700
Praha 97 D II;Dodejna II;19799
Praha 98;Podávací servisní;19800
Praha 98 D;Dodejna II;19899
Praha 99;Podávací;19900
Praha 99 D I;Dodejna I;19999
odd. 22000;S vyclívací funkcí;22000
Praha 121;Ostatní;22021
Praha 122;Ostatní;22022
Praha 123;Ostatní;22023
Praha 124;Ostatní;22024
Amsterdam;Ostatní;22025
Singapur;Ostatní;22026
